Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Cycle,Max_Stock
LAVETTE COTON,6.0,PC (1 PC),Hygiène,lundi,2024-01,A,0,149.0
LOT CAFE EN GRAINS ( BARISTA N°3 ),10.0,PC (1 KG),Cafe,lundi,2024-01,A,0,98.0
MAYO 5L DEJ,30.0,KG (5000 GR),Epicerie,lundi,2024-01,A,0,170.0
MENTOS ROLLS FRUIT FLAVOUR,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,0,80.0
MENTOS ROLLS MENTHE,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,0,80.0
MENTOS ROLLS RAINBOW,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,0,120.0
MENTOS ROLLS STRAWBERRY,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,0,80.0
MENTOS ROLLS TUTTI FRUTTI,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,0,80.0
NOIX DE CAJOU GRILLES SALEES 65GR,12.0,PC (1 PC),Fruits Secs,lundi,2024-01,B,0,96.0
OEUFS,4.0,PC (30 PC),Beurre Oeuf Fromage,lundi,2024-01,A,0,83.0
ORANGINA BOITE 24 CL,73.0,BTE (1 BTE),Eaux et Sodas,lundi,2024-01,A,0,347.0
PAILLE ENVELOPPE 7.5MM COLORE,5.0,SCH (50 PC),Consommable,lundi,2024-01,B,0,47.0
PAILLE ENVELOPPE 7.5MM NOIR,5.0,SCH (100 PC),Consommable,lundi,2024-01,B,0,33.0
PAIN CHAWARMA *10,8.0,PQT (10 PC),Boulangerie_R,lundi,2024-01,A,0,115.0
PAIN DE MIE CEREALE,26.0,PC (1 PC),Boulangerie_R,lundi,2024-01,B,0,130.0
PAIN DE MIE NATURE,52.0,PC,Boulangerie_R,lundi,2024-01,B,0,130.0
PAPIER ALUM DE 100,1.0,PC (1 PC),Consommable,lundi,2024-01,B,0,9.0
PAPIER CUISSON 40*60,1.0,PC (500 PC),Consommable,lundi,2024-01,C,0,4.0
PAPRIKA DOUX,2.0,KG (1 KG),Fruits & Legumes Frais,lundi,2024-01,C,0,3.0
PAPRIKA FORT,1.0,KG,Epicerie,lundi,2024-01,C,0,3.0
PATE SPAGHETTI,12.0,PC,Epicerie,lundi,2024-01,B,0,74.0
PIMENT FORT,4.7,KG,Legumes Frais,lundi,2024-01,A,0,78.95
PIMENT ROUGE SALLE,5.0,KG,Legumes Frais,lundi,2024-01,B,0,20.0
POIVRE NOIR MOULU,1.0,PC (1 KG),Epicerie,lundi,2024-01,B,0,3.0
ROQUETTE SALADE KG,1.0,KG,Legumes Frais,lundi,2024-01,C,0,4.35
ROULEAU CAISSE 80*80,50.0,PC (1 PC),Fournitures de Bureau,lundi,2024-01,A,0,205.0
ROULEAU TPE,20.0,PC (1 PC),Fournitures de Bureau,lundi,2024-01,A,0,286.0
SALADE LAITUE TUN,20.9,KG,Legumes Frais,lundi,2024-01,A,0,393.7
SANIT SURF,2.0,PC (1 PC),Hygiène,lundi,2024-01,A,0,51.0
SAUCE BARBECUE,1.0,PC (1 PC),Epicerie,lundi,2024-01,C,0,30.0
SEL FIN DE TABLE,1.0,PC (1 KG),Epicerie,lundi,2024-01,B,0,23.0
SERPILLERE,8.0,PC (1 PC),Hygiène,lundi,2024-01,A,0,122.0
SNICKERS,80.0,PC (1 PC),Epicerie,lundi,2024-01,C,0,100.0
SUCRE EN SACHET DAILY BREAK,10.0,PC (1 KG),Cafe,lundi,2024-01,A,0,230.0
THON EN BOITES,30.0,BTE (2.05 KG),Conserve de Poisson,lundi,2024-01,A,0,164.0
TOMATE CONCENTRE 4/4,12.0,PC,Epicerie,lundi,2024-01,D,0,24.0
TOMATE FRAICHE,34.3,KG,Legumes Frais,lundi,2024-01,A,0,526.85
TOQUE CHEF,2.0,PC (1 PC),Hygiène,lundi,2024-01,C,0,6.0
VIANDE HACHEE SPECIAL RESTO,4.7,PC (1 KG),Viandes Fraiches,lundi,2024-01,A,0,191.07
VIANDE SECHE FUME (BRESAOLA) TRANCHES 300GR,0.6,KG (1000 GR),Viandes Fraiches,lundi,2024-01,A,0,11.0
VIPA ORIENTAL MIX 100 GR,8.0,PC (1 PC),Fruits Secs,lundi,2024-01,B,0,48.0
AIL,5.3,KG (1 KG),Legumes Frais,mardi,2024-01,B,1,8.3
AJAX VITRE,11.0,PC (1 PC),Hygiène,mercredi,2024-01,A,1,32.0
AMANDE EFFILEE,1.0,PC (1 KG),Fruits Secs,mercredi,2024-01,B,1,4.0
AMANDES GRILEES SALEES 70GR,24.0,PC (1 PC),Fruits Secs,jeudi,2024-01,B,1,84.0
AMSTEL BEER BLLE 33CL,260.0,BTL,Alcools,lundi,2024-01,B,1,432.0
ASEPCLOR,10.0,PC (1 PC),Hygiène,dimanche,2024-01,A,1,60.0
AUBERGINE LEGUME,5.65,KG (1 KG),Legumes Frais,dimanche,2024-01,A,1,17.85
BACON BOEUF FUME TRANCHES ( 300GR),3.9,KG (1000 GR),Viandes Fraiches,vendredi,2024-01,A,1,6.9
BACON DE DINDE TRANCHES (1 - 1.5 KG),20.0,KG (1 KG),Charcuterie,vendredi,2024-01,B,1,43.0
BACTYGEL 703 CF,3.0,BTL (1 BTL),Hygiène,mardi,2024-01,B,1,4.0
BALAIS SANS MANCHE,2.0,PC (1 PC),Hygiène,lundi,2024-01,C,1,9.0
BASILIC BARQUETTE,2.6,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,11.05
BLOUSE NON TISSEE,2.0,PC (1 KG),Hygiène,mardi,2024-01,C,1,36.0
BOITE PIZZA 32 cm,200.0,PC (1 PC),Consommable,vendredi,2024-01,C,1,200.0
BOITE PIZZA PM CIG,200.0,PC (1 PC),Consommable,samedi,2024-01,B,1,500.0
CACAHUETES GRILLEES SALEES 70GR,12.0,PC,Fruits Secs,dimanche,2024-01,C,1,60.0
CAKE CHOCOLAT PBC,48.0,PC (1 PC),Viennoiserie,vendredi,2024-01,B,1,88.0
CAKE CITRON PBC,108.0,PC (1 PC),Pâtisseries,jeudi,2024-01,B,1,216.0
CAKE MARBRE PBC,209.0,PC (1 PC),Viennoiserie,mardi,2024-01,A,1,363.0
CAPRE VRAC,2.0,KG (1 KG),Legumes Frais,vendredi,2024-01,B,1,9.0
CAROTTE,10.0,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,67.1
CAROTTE CAKE PBC,110.0,PC (1 PC),Viennoiserie,vendredi,2024-01,B,1,330.0
CELTIA FUT DE 50L,2.0,PC (50 L),Alcools,dimanche,2024-01,B,1,6.0
CHAMPIGNON FRAIS BARQUETTE,22.0,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,34.5
CHAPLUR,2.0,PC (1 KG),Epicerie,mardi,2024-01,C,1,16.0
CHOCOLAT EN POUDRE,26.0,PC (0.2 KG),Cafe,mardi,2024-01,A,1,86.0
CHOUX ROUGE,3.1,PC (1 PC),Legumes Frais,mardi,2024-01,A,1,9.6
CITRON,2.0,KG (1 KG),Legumes Frais,jeudi,2024-01,A,1,16.75
CITRON SALLE,7.0,KG (1 KG),Legumes Frais,vendredi,2024-01,B,1,28.0
COFFRET PORTRAIT AV SEP24.5/14.5,50.0,PC (1 PC),Consommable,dimanche,2024-01,C,1,150.0
CONCOMBRE,85.408,KG (1 KG),Legumes Frais,mercredi,2024-01,A,1,177.692
COOKIES,40.0,PC,Viennoiserie,mardi,2024-01,C,1,120.0
CORNICHON FRAIS,8.0,KG (1 KG),Legumes Frais,vendredi,2024-01,B,1,12.0
COURGE,15.2,KG (1 KG),Legumes Frais,mardi,2024-01,B,1,47.65
COURGETTE,8.95,KG (1 KG),Legumes Frais,dimanche,2024-01,A,1,28.6
COUSCOUS EN PAQUET,12.0,PC (1 PC),Epicerie,mercredi,2024-01,D,1,28.0
CREME DE BALSAMIQUE,1.0,BTL (1 ML),Epicerie,mercredi,2024-01,D,1,10.0
DADDY'S CHIPS CLASSIC SEL DE MER 70G,150.0,PC,Epicerie,mercredi,2024-01,A,1,225.0
DADDY'S CHIPS SAVORY TRUFFE PARMESAN 70G,45.0,PC (1 PC),Epicerie,mercredi,2024-01,B,1,165.0
DADDY'S CHIPS SPICY PAPRIKA 70G,105.0,PC,Epicerie,mercredi,2024-01,A,1,165.0
DINOL,70.0,BIDON (1 KG),Hygiène,mercredi,2024-01,A,1,135.0
EMBALLAGE EN CARTON 30*12*6,150.0,PC (1 PC),Consommable,mercredi,2024-01,D,1,300.0
EMINCE DE BOEUF PORT. SURGELE,15.14,KG (1000 GR),Viandes Surgelées,jeudi,2024-01,A,1,79.49000000000001
EPINARD,2.4,KG (1 KG),Legumes Frais,mardi,2024-01,B,1,12.15
ESCALOPE POULET FRAIS,160.0,PC (1 KG),Volaille Surgelée,jeudi,2024-01,A,1,503.16
ESCALOPE POULET PANE CONGELE,18.29,KG (1 KG),Volaille Surgelée,dimanche,2024-01,A,1,128.91
ESSUIT TOUT JUMBO,78.0,PC (1 KG),Hygiène,mercredi,2024-01,A,1,157.0
FARINE EN PAQUET,23.0,PC (1 KG),Epicerie,mardi,2024-01,A,1,252.0
FILM ETIRABLE 725GR,17.0,PC (1 GR),Consommable,mardi,2024-01,A,1,38.0
FRITE SURGELE 9/9 CLASSIC 2.5 KG,205.0,KG (2.5 KG),Legumes Surgelés,mardi,2024-01,A,1,290.0
FROMAGE CAMEMBERT 240g,8.0,BTE (240 GR),Beurre Oeuf Fromage,lundi,2024-01,D,1,12.0
FROMAGE CHEDDAR PORTION KG,18.05,KG,Beurre Oeuf Fromage,samedi,2024-01,B,1,24.45
FROMAGE EDAM MEULE,5.85,KG (1 KG),Beurre Oeuf Fromage,samedi,2024-01,B,1,35.622
FROMAGE FETA (Nature),0.96,PC (1 KG),Beurre Oeuf Fromage,samedi,2024-01,D,1,1.6
FROMAGE GORGONZELA,0.15,PC (1 KG),Beurre Oeuf Fromage,mercredi,2024-01,A,1,13.0
FROMAGE LAND OR,9.0,PC (1 KG),Beurre Oeuf Fromage,jeudi,2024-01,A,1,25.4
FROMAGE MAASDAM EN BLOC PB,30.0,KG,Beurre Oeuf Fromage,mardi,2024-01,A,1,65.5
FROMAGE MEULE GOUDA KG,12.15,KG (1 KG),Beurre Oeuf Fromage,samedi,2024-01,A,1,32.932
FROMAGE MOZARELLA CARRE KG,109.0,KG (1 KG),Beurre Oeuf Fromage,mercredi,2024-01,B,1,145.0
FROMAGE MOZZARELLA MINI,1.0,PC,Beurre Oeuf Fromage,samedi,2024-01,D,1,9.0
FROMAGE PARMIGIANO REGIANO,1.0499999999999998,PC (1 PC),Beurre Oeuf Fromage,vendredi,2024-01,D,1,1.0499999999999998
FROMAGE SICILIEN,1.866,KG (1 KG),Beurre Oeuf Fromage,mercredi,2024-01,D,1,5.946
FUT HEINEKEIN,120.0,PC (1 L),Alcools,mardi,2024-01,B,1,240.0
GARCI GAZ P.E.T 1 L,147.0,L (1 GR),Eaux et Sodas,mardi,2024-01,A,1,344.0
GATEAU CHOCOLAT PBC,100.0,PC (1 PC),Viennoiserie,mardi,2024-01,B,1,100.0
GRENAD,50.4,KG (1 KG),Jus Fruit Lait,mardi,2024-01,B,1,69.1
HARISSA 450G,10.0,BTE (1 BTE),Epicerie,jeudi,2024-01,C,1,17.0
HARISSA 5/2,35.0,BOTTE (1 BTE),Epicerie,jeudi,2024-01,A,1,53.0
HUILE VEGETALE 5L,30.0,L (5 PC),Epicerie,vendredi,2024-01,A,1,54.0
JAMBON DE BOEUF FUME,5.95,KG (1 KG),Charcuterie,mercredi,2024-01,A,1,18.1
JAMBON DE DINDE,10.95,PC (1 KG),Charcuterie,jeudi,2024-01,A,1,34.15
JEX CARRE,59.0,PC (1 PC),Hygiène,mardi,2024-01,A,1,180.0
JOUR ET NUIT ROSE 1/2,10.0,PC (1 PC),Alcools,jeudi,2024-01,B,1,52.0
JOUR ET NUIT ROUGE 1/2,8.0,PC (1 PC),Alcools,jeudi,2024-01,C,1,48.0
KETCHUP,1.0,PC (5000 PC),Epicerie,mardi,2024-01,C,1,40.0
KETCHUP BIDON 5L,2.0,PC (5000 PC),Epicerie,mardi,2024-01,B,1,35.0
KINDER T4,40.0,PC (1 PC),Epicerie,jeudi,2024-01,B,1,180.0
LAVETTE COTON,70.0,PC (1 PC),Hygiène,mardi,2024-01,A,1,149.0
LEVURE BOULANGERE NORMALE,4.0,PC (1 PC),Boulangerie_R,lundi,2024-01,B,1,34.0
LOT CAFE EN GRAINS ( BARISTA N°3 ),70.0,PC (1 KG),Cafe,mardi,2024-01,A,1,98.0
MAIS EN BOITE,21.4,PC (1 KG),Conserve de légumes,mercredi,2024-01,A,1,92.0
MAIS EN VRAC,1.0,PC (1 KG),Legumes Frais,lundi,2024-01,C,1,9.0
MANGUE,2.0,PC,Fruits & Legumes Frais,jeudi,2024-01,A,1,39.0
MARINADE POULET GRILLE 2KG PB,32.0,PC (1 KG),Volaille Surgelée,mardi,2024-01,A,1,36.0
MARS CHOCOLAT,40.0,PC (1 PC),Epicerie,samedi,2024-01,C,1,160.0
MAYO 5L DEJ,70.0,KG (5000 GR),Epicerie,mardi,2024-01,A,1,170.0
MENTHE SECHE,0.12,KG (1 KG),Epicerie,mardi,2024-01,D,1,2.0
MENTOS ROLLS MENTHE,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,1,80.0
MENTOS ROLLS STRAWBERRY,40.0,PC (1 PC),Epicerie,mardi,2024-01,D,1,80.0
MIEL DOUX & FRAIS,1.0,PC (1 PC),Epicerie,mardi,2024-01,C,1,11.0
MIX A CREPE FRANCAISE,100.0,SAC (1 SAC),Pâtisseries,mardi,2024-01,B,1,150.0
MOELLEUX CHOCOLAT,36.0,PC,Viennoiserie,vendredi,2024-01,C,1,108.0
MOUTARDE DIJON 840 GR,9.0,BTE (840 GR),Epicerie,samedi,2024-01,B,1,25.0
MUFFINS VANILLE,48.0,PC,Viennoiserie,mardi,2024-01,B,1,96.0
NUGGETS PANE PB,100.0,PC (1 PC),Volaille Surgelée,dimanche,2024-01,A,1,275.0
OEUFS,38.0,PC (30 PC),Beurre Oeuf Fromage,mardi,2024-01,A,1,83.0
OIGNONS BLANC,90.95,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,127.3
OIGNONS ROUGE,72.7,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,119.4
OLIVE DENOYETE,7.0,KG (1 KG),Legumes Frais,vendredi,2024-01,B,1,35.0
OLIVE NOIRE SLICE,7.0,KG,Legumes Frais,mardi,2024-01,B,1,35.0
ORANGINA BOITE 24 CL,347.0,BTE (1 BTE),Eaux et Sodas,mardi,2024-01,A,1,347.0
PAILLE ENVELOPPE 7.5MM COLORE,24.0,SCH (50 PC),Consommable,vendredi,2024-01,B,1,47.0
PAILLE ENVELOPPE 7.5MM NOIR,23.0,SCH (100 PC),Consommable,mardi,2024-01,B,1,33.0
PAIN CHAWARMA *10,57.0,PQT (10 PC),Boulangerie_R,mardi,2024-01,A,1,115.0
PAIN DE MIE CEREALE,26.0,PC (1 PC),Boulangerie_R,samedi,2024-01,B,1,130.0
PAIN DE MIE NATURE,26.0,PC (1 PC),Boulangerie_R,samedi,2024-01,B,1,130.0
PAIN SCHNECK AUX RAISINS SURG PUR BEURRE GF,250.0,PC (1 PC),Viennoiserie,jeudi,2024-01,B,1,1200.0
PAPIER ALUM DE 100,2.0,PC (1 PC),Consommable,vendredi,2024-01,B,1,9.0
PAPIER SERVIETTE GOURMANDISE,40.0,PC (1 PC),Consommable,mercredi,2024-01,B,1,128.0
PAPRIKA FORT,1.0,KG (1 KG),Epicerie,mardi,2024-01,C,1,3.0
PAQUET 17/4,100.0,PC,Consommable,mardi,2024-01,C,1,300.0
PATE PIZZA FOCACCIA 12/40,80.0,PC (1 PC),Boulangerie_R,mardi,2024-01,A,1,170.0
PATE PIZZA FOCACCIA D32 CM,20.0,PC (1 PC),Boulangerie_R,vendredi,2024-01,C,1,50.0
PATE PIZZA PANCROCCHINO 32cm,46.0,PC (1 PC),Boulangerie_R,vendredi,2024-01,D,1,51.0
PATE PLUME COURTE,24.0,PC (1 KG),Epicerie,mardi,2024-01,B,1,58.0
PIECE RONDE BOEUF,5.55,KG (1 KG),Viandes Surgelées,mardi,2024-01,D,1,24.200000000000003
PIMENT DOUX,48.15,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,97.3
PIMENT FORT,19.3,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,78.95
PIMENT ROUGE SALLE,5.0,KG,Legumes Frais,vendredi,2024-01,B,1,20.0
PISTACHE CONCASSEE,1.0,PC (1000 GR),Fruits Secs,vendredi,2024-01,C,1,4.0
POIS CHICHE KG,3.0,PC (1 PC),Legumes Secs,mercredi,2024-01,C,1,8.0
POIVRE NOIR MOULU,1.0,PC (1 KG),Epicerie,mardi,2024-01,B,1,3.0
POMME DE TERRE,86.05,KG (1 KG),Legumes Frais,mercredi,2024-01,A,1,292.25
POUDRE TENDERS PB,30.0,KG (1 KG),Volaille Surgelée,jeudi,2024-01,B,1,42.0
POULET PAC FRAIS,63.42,KG (1 KG),Volaille Fraiche,jeudi,2024-01,C,1,98.48
QUATRE EPICES MOULU,1.0,PC (1 KG),Epicerie,mercredi,2024-01,C,1,3.0
RACLETTE,2.0,PC (1 PC),Hygiène,jeudi,2024-01,B,1,7.0
RAME PAPIER A4,3.0,PC (1 PC),Fournitures de Bureau,dimanche,2024-01,B,1,23.0
REMANENT HERBE CF,2.0,PC (1 PC),Hygiène,jeudi,2024-01,B,1,10.0
ROQUETTE SALADE KG,2.7,KG (1 KG),Legumes Frais,jeudi,2024-01,C,1,4.35
ROULEAU CAISSE 80*80,90.0,PC (1 PC),Fournitures de Bureau,samedi,2024-01,A,1,205.0
ROULEAU TPE,150.0,PC (1 PC),Fournitures de Bureau,samedi,2024-01,A,1,286.0
SAC EN PAPIER KRAFT 30/30/26,50.0,PC (1 PC),Consommable,samedi,2024-01,C,1,150.0
SACHET BRETELLES 38X60 MF,150.0,PC,Consommable,mardi,2024-01,B,1,225.0
SALADE LAITUE TUN,197.3,KG (1 KG),Legumes Frais,mercredi,2024-01,A,1,393.7
SANEX,48.0,PC (1 PC),Hygiène,mercredi,2024-01,A,1,100.0
SANIT SURF,23.0,PC (1 PC),Hygiène,mardi,2024-01,A,1,51.0
SAUCE A L'AIL,3.0,PC,Epicerie,mardi,2024-01,B,1,12.0
SAUCE A L'AIL PB,11.0,L (1 KG),Epicerie,mardi,2024-01,A,1,11.0
SAUCE BARBECUE,2.0,PC (1 PC),Epicerie,mardi,2024-01,C,1,30.0
SAUCE MAYONNAISE PESTO PB,10.0,L (1 L),Epicerie,mardi,2024-01,A,1,11.0
SAUCE PESTO PB,5.0,KG (1 KG),Epicerie,mardi,2024-01,A,1,5.0
SEL FIN DE TABLE,6.0,PC (1 KG),Epicerie,mardi,2024-01,B,1,23.0
SERPILLERE,49.0,PC (1 PC),Hygiène,mardi,2024-01,A,1,122.0
SERVIETTE 30*30 CIGUSTA,48.0,PC (1 PC),Consommable,samedi,2024-01,B,1,192.0
SNICKERS,40.0,PC (1 PC),Epicerie,mardi,2024-01,C,1,100.0
SUCRE EN SACHET CI-GUSTA,10.0,PC (1 PC),Cafe,mardi,2024-01,B,1,120.0
SUCRE EN SACHET DAILY BREAK,90.0,PC (1 KG),Cafe,mardi,2024-01,A,1,230.0
THON EN BOITES,111.0,BTE (2.05 KG),Conserve de Poisson,mercredi,2024-01,A,1,164.0
TOMATE CERISES,7.15,KG (1 KG),Legumes Frais,mercredi,2024-01,A,1,24.95
TOMATE CONCENTRE 4/4,12.0,PC (1 PC),Epicerie,mardi,2024-01,D,1,24.0
TOMATE FRAICHE,325.55,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,526.85
TOMATES SECHEES,0.3,PC (1000 GR),Epicerie,mardi,2024-01,B,1,5.0
TOQUE CHEF,1.0,PC (1 PC),Hygiène,mardi,2024-01,C,1,6.0
VARIANTES,3.0,KG (1 KG),Legumes Frais,mardi,2024-01,D,1,10.0
VIANDE HACHEE SPECIAL RESTO,52.8,PC (1 KG),Viandes Fraiches,mardi,2024-01,A,1,191.07
VIANDE SECHE FUME (BRESAOLA) TRANCHES 300GR,3.6,KG (1000 GR),Viandes Fraiches,vendredi,2024-01,A,1,11.0
AIL,2.0,KG (1 KG),Legumes Frais,samedi,2024-01,B,2,8.3
AIL EN POUDRE,0.04,KG (1 KG),Fruits & Legumes Frais,vendredi,2024-01,C,2,2.0
AJAX VITRE,18.0,PC (1 PC),Hygiène,vendredi,2024-01,A,2,32.0
AMANDE EFFILEE,2.0,PC (1 KG),Fruits Secs,jeudi,2024-01,B,2,4.0
AMANDES GRILEES SALEES 70GR,36.0,PC (1 PC),Fruits Secs,dimanche,2024-01,B,2,84.0
AMSTEL BEER BLLE 33CL,329.0,BTL (1 BTL),Alcools,vendredi,2024-01,B,2,432.0
ASEPCLOR,20.0,PC (1 PC),Hygiène,dimanche,2024-01,A,2,60.0
AUBERGINE LEGUME,3.8,KG,Legumes Frais,dimanche,2024-01,A,2,17.85
BACON BOEUF FUME TRANCHES ( 300GR),4.2,KG (1000 GR),Viandes Fraiches,vendredi,2024-01,A,2,6.9
BACON DE DINDE TRANCHES (1 - 1.5 KG),10.0,KG (1 KG),Charcuterie,samedi,2024-01,B,2,43.0
BALAIS SANS MANCHE,5.0,PC (1 PC),Hygiène,dimanche,2024-01,C,2,9.0
BANANE,98.0,KG (1 PC),Fruits & Legumes Frais,mercredi,2024-01,A,2,155.0
BASILIC BARQUETTE,2.9,KG (1 KG),Legumes Frais,vendredi,2024-01,A,2,11.05
BEURRE MARGARINE  KG,4.5,PC (1 KG),Beurre Oeuf Fromage,samedi,2024-01,C,2,40.5
BISCUIT TUC,24.0,PC (1 PC),Epicerie,dimanche,2024-01,D,2,120.0
BLOUSE NON TISSEE,1.0,PC (1 KG),Hygiène,samedi,2024-01,C,2,36.0
BOITE PIZZA 32 cm,200.0,PC,Consommable,vendredi,2024-01,C,2,200.0
BOITE PIZZA PM CIG,200.0,PC (1 PC),Consommable,mercredi,2024-01,B,2,500.0
BROCHETTE BAMBOO 20,5.0,PC (1 PC),Consommable,vendredi,2024-01,C,2,14.0
CACAHUETES GRILLEES SALEES 70GR,24.0,PC (1 PC),Fruits Secs,vendredi,2024-01,C,2,60.0
CAKE CHOCOLAT PBC,16.0,PC (1 PC),Viennoiserie,dimanche,2024-01,B,2,88.0
CAKE CITRON PBC,36.0,PC (1 PC),Pâtisseries,dimanche,2024-01,B,2,216.0
CAKE MARBRE PBC,143.0,PC (1 PC),Viennoiserie,dimanche,2024-01,A,2,363.0
CAPRE VRAC,1.0,KG (1 KG),Legumes Frais,samedi,2024-01,B,2,9.0
CAROTTE,6.4,KG (1 KG),Legumes Frais,lundi,2024-01,A,2,67.1
CAROTTE CAKE PBC,143.0,PC (1 PC),Viennoiserie,dimanche,2024-01,B,2,330.0
CELTIA FUT DE 50L,1.0,PC (50 L),Alcools,mercredi,2024-01,B,2,6.0
CHAMPIGNON FRAIS BARQUETTE,21.5,KG,Legumes Frais,samedi,2024-01,A,2,34.5
CHAPLUR,2.0,PC (1 KG),Epicerie,vendredi,2024-01,C,2,16.0
CHOCOLAT EN POUDRE,10.0,PC (0.2 KG),Cafe,mardi,2024-01,A,2,86.0
CHOUX ROUGE,4.15,PC (1 PC),Legumes Frais,lundi,2024-01,A,2,9.6
CITRON,3.9,KG (1 KG),Legumes Frais,lundi,2024-01,A,2,16.75
CITRON SALLE,7.0,KG (1 KG),Legumes Frais,mardi,2024-01,B,2,28.0
COFFRET CHECHIA AV SEP 16/16,125.0,PC (1 PC),Consommable,vendredi,2024-01,C,2,125.0
CONCOMBRE,71.342,KG (1 KG),Legumes Frais,samedi,2024-01,A,2,177.692
CONFITURE DE FRAISES 380G,2.0,PC (1 PC),Conserve de légumes,dimanche,2024-01,D,2,3.0
COOKIES,40.0,PC,Viennoiserie,samedi,2024-01,C,2,120.0
